AromaticRings,MinPartialCharge,BalabanJ,NumRings,nHBDon,nHBAcc,nRot,IDNUMBER,Canonical_SMILES,Cluster
4,-0.3763859860712362,1.202798149188237,5,1.0,7.0,6.0,J084_0037,O=C(CSc1nnc2c3ccccc3nc(-c3ccccc3)n12)NCC1CCCO1,2
4,-0.377660898228172,1.1829610721790158,5,1.0,7.0,6.0,AJ_292_11387508,CN(C)c1ccc(/C=N/Nc2nc3sc4c(c3c(=O)n2Cc2ccccc2)CCC4)cc1,2
4,-0.3563254106810226,1.2108711269501606,5,1.0,7.0,6.0,E786_2253,O=C1c2cccnc2C(=O)N1Cc1ccc(F)cc1S(=O)(=O)Nc1ccc(-c2ccno2)cc1,2
4,-0.3860476393430218,1.2199587023115803,5,1.0,6.0,5.0,AK_968_37053137,O=C1/C(=C/NCc2cccnc2)C(c2ccccc2)=NN1c1nc2ccccc2s1,2
4,-0.3679817987463077,1.228949619564946,5,1.0,6.0,5.0,C669_2591,Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2N2CCN(c3ccc(Cl)cc3)CC2)cc1,2
4,-0.3830108010765695,1.1046150690344851,5,1.0,7.0,6.0,AJ_292_11386001,Nc1nc(SCC(=O)c2ccccc2)nc2sc3c(c12)CCN(Cc1ccccc1)C3,2
4,-0.3639875553873003,1.1784854877375346,5,1.0,6.0,5.0,P894_0074,Cc1cccc(CNc2nnc(-c3nc(C4CC4)no3)c3ccccc23)c1,2
4,-0.3704248679059959,1.0873309691402084,5,1.0,7.0,6.0,F081_0955,CC1(C)Cc2nc3sc4c(SCC(=O)NCCc5ccccc5)ncnc4c3cc2CO1,2
4,-0.3551081945785614,1.1317615820828033,5,1.0,6.0,5.0,L094_3492,O=C(NCc1ccc(F)cc1Cl)C1CCCN(c2ncnc3nn(-c4ccc(F)cc4)cc23)C1,2
4,-0.3502208737441772,1.1508683130087145,5,1.0,6.0,5.0,Z787513864,Cc1noc2nc(C3CC3)cc(C(=O)NCCn3cnc4ccccc43)c12,2
4,-0.345411113733823,1.1198832404292027,5,1.0,7.0,6.0,P708_0886,Cc1c(C(=O)NC(C)c2ccccc2)cnn1-c1cc(-c2nc(C3CC3)no2)ccn1,2
1,-0.4834868774679967,1.8742922500661667,1,1.0,2.0,20.0,AN_329_41868605,CCCCCCCCCCCCCCCCNC(=O)COc1ccccc1C(C)CC,3
1,-0.5069717324704994,1.775162019342024,1,1.0,2.0,20.0,AE_848_30539022,C=CCc1cccc(/C=N/CCCCCCCCCCCCCCCCCC)c1O,3
2,-0.4935991283629706,1.428723263187957,2,0.0,4.0,23.0,AP_372_40702804,CCCCCCCCCCOc1ccc(/N=C(C)/C(C)=N/c2ccc(OCCCCCCCCCC)cc2)cc1,3
2,-0.4935991283759209,1.3269247779827773,2,0.0,4.0,23.0,AP_372_40702803,CCCCCCCCCCOc1ccc(/N=C/C=N/c2ccc(OCCCCCCCCCC)cc2)cc1,3
