AromaticRings,MinPartialCharge,BalabanJ,NumRings,nHBDon,nHBAcc,nRot,IDNUMBER,Canonical_SMILES,Cluster
2,-0.3655077809750849,1.4591038148309667,3,2.0,4.0,4.0,Z1183525611,NC(=O)c1ccc(NC(=O)c2ccnc(C3CC3)n2)cc1F,2
2,-0.3814299477210131,1.3919684343278595,3,2.0,4.0,4.0,Z2951422749,CC(C)(CNC(=O)Nc1ccn2ccnc2c1)C1CCOCC1,2
2,-0.3667771214875502,1.3808746399828382,3,2.0,4.0,4.0,AP_970_43336959,CCC(=O)N1CCN(c2ccc(NC(=S)NC(=O)c3ccccc3)cc2Cl)CC1,2
2,-0.390275255539955,1.435600567909939,3,2.0,4.0,4.0,Z2186619518,O=C(CCc1ncccn1)N[C@H]1c2ccccc2C[C@H]1O,2
2,-0.367980044646547,1.4906633428508418,3,2.0,4.0,4.0,Z2765652904,Cc1ccc(F)c(CC(=O)N[C@H]2CCO[C@H]2c2nc(C)n[nH]2)c1,2
2,-0.3733677019423755,1.3659966141308426,3,2.0,4.0,4.0,Z1693417833,Cc1nc(CNC(=O)NC2CCOC(c3ccccc3)C2)sc1C,2
2,-0.3912831969086118,1.4341705099594615,3,2.0,4.0,4.0,Z1462675728,Cc1ccc(CNc2cccc(C(=O)N3CCCC(O)C3)c2)s1,2
2,-0.3880534483729148,1.3922938408238736,3,2.0,4.0,4.0,Z1229976775,O=C(NCC1(O)CCCCCC1)c1ccc(-n2cccn2)cc1,2
2,-0.3693392574277246,1.4968496944103569,3,2.0,4.0,4.0,Z301295338,NC(=O)Cc1csc(NC(=O)C2CCCc3ccccc32)n1,2
2,-0.4852506739230531,1.431939486141854,4,1.0,5.0,4.0,Z52320797,CCCNC(=O)C1CN(C(=O)C2COc3ccccc3O2)c2ccccc2O1,3
2,-0.4918925508117607,1.4223071637444633,4,1.0,5.0,4.0,Z2996683797,O=C(O)C1c2ccccc2OCCN1Cc1cc(C2CC2)no1,3
2,-0.4928592126809817,1.4641325557726586,4,1.0,5.0,4.0,Z4626101442,COc1cc2c(cc1OC)C(C1CC1)N(C(=O)Nc1ccon1)CC2,3
2,-0.4967429591301264,1.4278044776720855,4,1.0,5.0,4.0,SD14_0096,COc1ccc2c(c1)c(CN1CC[C@@H]3NC(=O)CN(C)C(=O)[C@@H]3C1)cn2C(C)C,3
2,-0.4959243377380087,1.4117331219450906,4,1.0,5.0,4.0,S953_5028,COc1ccccc1C(=O)N1CCC2(CC1)CC(C(N)=O)N(c1ccc(C#N)c(C(F)(F)F)c1)C2,3
2,-0.4928421306083633,1.470078604618785,4,1.0,5.0,4.0,SC70_0570,COc1cccc(C(=O)N2CC(c3n[nH]c(C)n3)C3(CCC3)C2)c1OC,3
2,-0.4967567603862004,1.4527516883077018,4,1.0,5.0,4.0,P563_1286,COc1cccc(CNC(=O)C2=C3CCCN3c3ccc(Cl)cc3S2(=O)=O)c1,3
2,-0.4967681937740622,1.4581106356972815,4,1.0,5.0,4.0,8017_4861,COc1ccc(C2NC(=O)N(C)C3=C2C(=O)N(c2ccc([N+](=O)[O-])cc2)C3)cc1,3
2,-0.468800488123131,1.4248150659138112,4,1.0,5.0,4.0,Z2055801080,CO[C@@H]1C[C@@H](c2nc(C3CC3)n[nH]2)N(C(=O)c2coc(C)c2)C1,3
2,-0.4861472949505848,1.345699904005464,4,1.0,5.0,4.0,Z316496634,Cn1ccc(C(=O)NCC2(c3ccc4c(c3)OCCO4)CCCC2)cc1=O,3
2,-0.4809735871655578,1.5226118335036685,4,1.0,5.0,4.0,Z2763071471,Cn1nc2c(c1S(=O)(=O)N1C[C@H](C(=O)O)[C@@H](c3ccccc3)C1)CCCC2,3
2,-0.5071212907173759,1.4562404516687726,4,1.0,5.0,4.0,Z1800105445,CCc1ccc(O)c(C(=O)N2C[C@H]3CCC[C@@]3(c3nc(C(C)C)no3)C2)c1,3
2,-0.4964661659463028,1.3463796241408406,4,1.0,5.0,4.0,Z1885064502,COc1ccc(C(=O)N2CCCC(c3nnn[nH]3)C2)cc1C1CC1,3
2,-0.4963960726156455,1.344648758360308,4,1.0,5.0,4.0,Z1623086915,COc1cc(C)ccc1CNC(=O)N1CCCCC1c1nnc2n1CCCC2,3
2,-0.4589022127642696,1.444356557961597,4,1.0,5.0,4.0,Z2055797348,CO[C@@H]1C[C@@H](c2nc(C3CC3)n[nH]2)N(C(=O)c2occc2C)C1,3
2,-0.343556758831072,1.5247520156771488,3,1.0,4.0,4.0,Z2966416858,Cc1ccc(C(=O)NC(c2ccncc2)C2CC2)nn1,4
2,-0.3421436206072826,1.5161334819325458,3,1.0,4.0,4.0,Z365461056,CCN1CC(C(=O)N(C)Cc2nc3ccccc3c(=O)[nH]2)CC1=O,4
2,-0.3419136038901104,1.5111387476135458,3,1.0,4.0,4.0,Z572802184,CCC(=O)N1CCCC(C(=O)N(C)Cc2nc3ccccc3c(=O)[nH]2)C1,4
2,-0.3470782883053542,1.5179939517320675,3,1.0,4.0,4.0,Z1725039528,Cn1c(CNC(=O)C2CCCN2C(=O)CC(C)(C)C)nc2cccc(Cl)c21,4
2,-0.3394383568038897,1.5269018333865303,3,1.0,4.0,4.0,Z1090652288,CC(C)N1CC(C(=O)Nc2scnc2-c2ccc(F)cc2)CC1=O,4
2,-0.339406566407773,1.5292231323829597,3,1.0,4.0,4.0,Z1207252717,Cc1nc(-c2cccc(Cl)c2)sc1C(=O)NC1CCN(C(C)C)C1=O,4
2,-0.3480214405841449,1.5372490600421636,3,1.0,4.0,4.0,Z1231808971,Cc1nnc(CNC(=O)C2(c3ccccc3F)CC2)n1C,4
2,-0.3379444470852291,1.526427989196873,3,1.0,4.0,4.0,AG_690_40701637,Cc1c(C(=O)N2CCCCC2)sc(NC(=O)Cc2ccc(Cl)cc2)c1C#N,4
2,-0.3423700710529379,1.5003818377088407,3,1.0,4.0,4.0,Z1748462590,Cc1nc(-c2ccncc2)[nH]c(=O)c1CC(=O)N1CCC(C)(C(C)C)CC1,4
2,-0.3484286630635966,1.5400116328704063,3,1.0,4.0,4.0,Z2994399017,Cn1ncnc1C(=O)NCC1(c2cccc(F)c2)CCC1,4
2,-0.3504711658171827,1.5210120630588966,3,1.0,4.0,4.0,C862_1744,Cc1cc(C)c2c(n1)SCC(=O)N2CC(=O)NCc1cccc(Br)c1,4
2,-0.3495108660903056,1.5411615553689788,3,1.0,4.0,4.0,Z225896556,CC(=O)N1C=Cc2ccccc2C1CC(=O)NCc1nc(C)cs1,4
2,-0.3460644059704675,1.4967145730097335,3,1.0,4.0,4.0,Z1443261566,CC(NC(=O)Cc1c(F)cccc1Cl)c1nnc2n1CCCC2,4
2,-0.3370114844214186,1.5435374043029768,3,1.0,4.0,4.0,Z2058986192,CN1C(=O)C[C@@H](NCc2ccc(F)c(C#N)c2)[C@@H]1c1cccnc1,4
